"<div style='height: 48px;overflow: hidden;width: 200px;float:right;padding:10px;'><a href='http://www.sendcloud.nl/'><img style='margin-top:-48px;' src='https://www.sendcloud.nl/wp-content/themes/sendcloud/images/sendcloud-logo.png' /></a></div>Shipping made simple, SendCloud saves you time and money. This is the module that integrates your Magento shop with the SendCloud platform. You can receive your API settings from the<a target='_blank' href='https://panel.sendcloud.nl/accounts/login/'>SendCloud panel</a>.","<div style='height: 48px;overflow: hidden;width: 200px;float:right;padding:10px;'><a href='http://www.sendcloud.nl/'><img style='margin-top:-48px;' src='https://www.sendcloud.nl/wp-content/themes/sendcloud/images/sendcloud-logo.png' /></a></div>Versand leicht gemacht - SendCloud spart dir Zeit und Geld. Dieses Modul integriert deinen Magento-Shop mit der SendCloud-Plattform. Du kannst deine API-Einstellungen in der <a target='_blank' href='https://panel.sendcloud.nl/accounts/login/'>SendCloud-Oberfläche</a> einsehen."
"Convert to shipped","Ändern auf 'versendet'"
"Order %s has succesfully been converted to a shipped order","Bestellung %s wurde erfolgreich geändert auf 'versendet'"
"Order %s has succesfully been transfered to SendCloud","Bestellung %s wurde erfolgreich zu SendCloud übertragen"
"Order %s has the following problem: ","Bestellung %s weist das folgende Problem auf: "
"Order completed, sent with Sendcloud Integration","Bestellung ist vollständig und wurde mit SendCloud Integration geschickt"
"Ship with SendCloud","Versenden mit SendCloud"
"The order has succesfully been transfered to SendCloud","Die Bestellung wurde erfolgreich zu SendCloud übertragen"
"Introduction","Einführung"
"API Settings","API Einstellungen"
"Public key","Öffentlicher Schlüssel"
"Secret key","Geheimer Schlüssel"
"Transfer status condition","Bestellstatus für Transfer"
"Service point picker","Service-Point Picker"
"Service Point Picker enabled","Service-Point Picker aktiviert"
"Add service point picker to following shipping methods","Service-Point Picker zu folgenden Versandmethoden hinzufügen"
"Automatic transfer enabled","Automatische Übertragung aktivieren"
"Scan&go enabled","Scan&Go aktiviert"
"Use address 2 field as housenumber","Adresszeile 2 als Hausnummer verwenden"
"Often OneStepCheckout uses the address 2 field as housenumber.","OneStepCheckout verwendet häufig die 2. Adresszeile für die Hausnummer"
"Notify customer after converting to shipped","Kunde benachrichtigen sobald Sendung als “versendet” gekennzeichnet ist"
"SendCloud offers a bulk order action which changes the status to shipped. Enabling this option will notify the customer of these changed orders","SendCloud bietet eine Funktion, um mehrere Sendungen als “verschickt” zu kennzeichnen. Das Aktivieren dieser Funktion wird auch die Kunden über den veränderten Versandstatus informieren."
"Extra functionality","Erweiterte Funktionen"
"When an order has the above status, then a label will be created in the SendCloud panel.","Wenn eine Sendung den obigen Status hat, wird diese automatisch übertragen."
"Yes","Ja"
"No","Nein"
"API settings","API-Einstellungen"
"Configuration","Konfiguration"
